Area,Bauteiltyp,Depth,GUID,Geschoss,Height,IfcType,Name,Volume,Width,id
2.0,Öffnung,0.41,39Xq2nz$8$3MWxk0IRX7To,,1.0,IfcOpeningElement,Fenster-006,0.09219,2.0,89707
2.0,Öffnung,0.41,3iiVmbkHehhlsnMER6LlwE,,1.0,IfcOpeningElement,Fenster-007,0.09219,2.0,89766
2.0,Öffnung,0.41,0g1VTQLmoGw3qGUj7cv6fQ,,1.0,IfcOpeningElement,Fenster-008,0.09219,2.0,89825
1.0,Öffnung,0.18,2akIZXe7UMn7gfq7FnvbtY,,0.5,IfcOpeningElement,Fenster-001,0.058694,2.0,92110
1.0,Öffnung,0.18,1llIzGRnR5TPslg0y2epGc,,0.5,IfcOpeningElement,Fenster-002,0.058694,2.0,92169
1.0,Öffnung,0.18,270y2nvyICtAeske$sNGm_,,0.5,IfcOpeningElement,Fenster-003,0.058694,2.0,92228
2.1311,Öffnung,0.18,0KoW3CRkyNyUGaHtBQCN5L,,2.11,IfcOpeningElement,Tür-004,0.111556828,1.01,92287
2.1311,Öffnung,0.18,11l_beIbApFmtE01eeRsDi,,2.11,IfcOpeningElement,Tür-004,0.111556828,1.01,92346
2.1311,Öffnung,0.18,01oH3RmA6IVxFrjnBv6W_T,,2.11,IfcOpeningElement,Tür-004,0.111556828,1.01,92405
1.9056,Öffnung,0.1,3Cudvs3qvcAJglzEzPFMKy,,1.985,IfcOpeningElement,Tür-004,0.111556828,0.96,108953
1.9056,Öffnung,0.1,3l7gvQvg1d_hCrai41fFvU,,1.985,IfcOpeningElement,Tür-004,0.111631828,0.96,109052
1.9056,Öffnung,0.1,3cf5IVloEpx5HYo$Ro5LkA,,1.985,IfcOpeningElement,Tür-004,0.111556828,0.96,137603
7.7,Öffnung,0.41,1wQJDpsK$yRBG5L4bw1Nro,,2.2,IfcOpeningElement,Fenster-002,0.2332365,3.5,699976
7.7,Öffnung,0.41,3U$D3r7SIWSkE4ycmKcE5Z,,2.2,IfcOpeningElement,Fenster-003,0.2332365,3.5,700035
7.7,Öffnung,0.41,1XlFwXYQ8hSCXKYFuXjlEM,,2.2,IfcOpeningElement,Fenster-004,0.2332365,3.5,700094
7.7,Öffnung,0.41,3pKXkl7dzd$78eWgzdQP6o,,2.2,IfcOpeningElement,Fenster-002,0.2332365,3.5,700153
7.7,Öffnung,0.41,0NmkN04EKTwHvfvbP7EO83,,2.2,IfcOpeningElement,Fenster-003,0.2332365,3.5,700212
7.7,Öffnung,0.41,331EXtf0UT9cR5qIXF5EeD,,2.2,IfcOpeningElement,Fenster-004,0.2332365,3.5,700271
7.7,Öffnung,0.41,3pi08nsTSMxK31KqZhI8s1,,2.2,IfcOpeningElement,Fenster-004,0.2332365,3.5,700330
7.7,Öffnung,0.41,3nMdSCqqu7Uzl88iNsy_Av,,2.2,IfcOpeningElement,Fenster-004,0.2332365,3.5,700389
4.4,Öffnung,0.41,3zg_YgeA8keThimkZt8g3n,,2.2,IfcOpeningElement,Fenster-007,0.17091,2.0,704220
4.4,Öffnung,0.41,2GQpR2XLHJ_vkmrogOJfJW,,2.2,IfcOpeningElement,Fenster-008,0.17091,2.0,704279
4.4,Öffnung,0.41,0SApfjfEDvNYZKYdOH9_mg,,2.2,IfcOpeningElement,Fenster-009,0.17091,2.0,704338
7.7,Öffnung,0.41,2RycF9cO0oDxHKhsBcvl7a,,2.2,IfcOpeningElement,Fenster-001,0.2332365,3.5,706627
7.7,Öffnung,0.41,1HTbs6fMXBTLDpNqCTYsv_,,2.2,IfcOpeningElement,Fenster-001,0.2332365,3.5,706686
7.7,Öffnung,0.41,2$kUTBD9VumjZLr2cBIHwz,,2.2,IfcOpeningElement,Fenster-002,0.2332365,3.5,706745
4.4,Öffnung,0.41,36ICE$4nan5r2Y3PjBcsKO,,2.2,IfcOpeningElement,Fenster-007,0.17091,2.0,707743
4.4,Öffnung,0.41,18U12Pn2B7nf1G$dx4VfWb,,2.2,IfcOpeningElement,Fenster-007,0.17091,2.0,707802
4.4,Öffnung,0.41,0lXA8jex$aGPF354VnL64n,,2.2,IfcOpeningElement,Fenster-007,0.17091,2.0,707861
3.0351,Öffnung,0.18,2$38oLcZUdgRdUxj6dcm5h,,2.01,IfcOpeningElement,Tür-005,0.07792601314,1.51,709795
3.0351,Öffnung,0.18,1RdnZYMbXUHxJCmzBqH2Aw,,2.01,IfcOpeningElement,Tür-006,0.07792601314,1.51,710924
7.7,Öffnung,0.41,2$ZS_pc8xBMe1RtiSW$myu,,2.2,IfcOpeningElement,Fenster-001,0.2332365,3.5,717653
7.7,Öffnung,0.41,3vpSsK$8B2cp4lF4bgpMOu,,2.2,IfcOpeningElement,Fenster-001,0.2332365,3.5,717712
7.7,Öffnung,0.41,0_3yx5gdmFs_hsi0eM2Qkh,,2.2,IfcOpeningElement,Fenster-002,0.2332365,3.5,717771
2.0016,Öffnung,0.1,2hE8MPbCLgMEQZJz3bdh_W,,2.085,IfcOpeningElement,Tür-004,0.111631828,0.96,720703
2.0016,Öffnung,0.1,0ASGq4RLGVV1RED8aG$A1H,,2.085,IfcOpeningElement,Tür-004,0.111631828,0.96,720802
2.0016,Öffnung,0.1,2sbMQDKw6zGu28C$4Ksmpk,,2.085,IfcOpeningElement,Tür-004,0.111631828,0.96,723575
2.0016,Öffnung,0.1,2TPhK0fSu1rBdGFTWDecs6,,2.085,IfcOpeningElement,Tür-004,0.111631828,0.96,723674
