Bauteiltyp,Betongüte,Expositionsklasse,GUID,Geschoss,GrossFootprintArea,GrossSideArea,GrossVolume,Height,IfcType,IsExternal,Length,LoadBearing,Material,Name,NetFootprintArea,NetSideArea,NetVolume,Sichtbetonklasse,Status,Width,id,Überwachungsklasse
Wand,C30/37,XF3,3Azva1CIn8Cv4Tn1ttfRpr,OG,4.75190018767,32.5089,13.82706,3.0,IfcWall,True,11.59,True,Stahlbeton,Wand-005,4.75190018767,19.3089,8.41506,SB2,['EXISTING'],0.41,704381,ÜK1
Wand,C30/37,XF3,3YkXncaPv5j8QIzD$xZ0VB,OG,6.03430004408,41.2413,17.543706,3.0,IfcWall,True,14.705,True,Stahlbeton,Wand-006,6.03430004408,18.1413,8.072706,SB2,['EXISTING'],0.41,706788,ÜK1
Wand,C30/37,XF3,3F0qki_Oj4$uiFpww2DAq_,OG,4.69179910945,32.3458,13.649876,3.0,IfcWall,True,11.59,True,Stahlbeton,Wand-007,4.69179910945,19.1458,8.237876,SB2,['EXISTING'],0.41,707904,ÜK1
Wand,,,2gNRAbHmH2JvdhNIYo9eIZ,OG,2.01770073341,29.5436,5.285912,2.62,IfcWall,True,11.385,True,,Wand-002,2.01770073341,26.5085,4.739594,,['EXISTING'],0.18,709830,
Wand,,,2bGvlS8Rz81fRJps2ER$FM,OG,2.01770069773,29.5436,5.285912,2.62,IfcWall,True,11.385,True,,Wand-003,2.01770069773,26.5085,4.739594,,['EXISTING'],0.18,710959,
Wand,C30/37,XF3,3uhSELtO93GhzEq9$5qlEK,OG,6.09439935493,41.4044,17.72089,3.0,IfcWall,True,14.705,True,Stahlbeton,Wand-007,6.09439935493,18.3044,8.24989,SB2,['EXISTING'],0.41,717814,ÜK1
Wand,,,1pjDOY_mv3X9u8zktaNXaK,OG,0.256344183975,6.69165540939,0.6716217923,2.62,IfcWall,True,2.54781694668,True,,Wand-007,0.256344183975,6.69165540939,0.6716217923,,['EXISTING'],0.1,719545,
Wand,,,1qu0TfF190WA2UTYUnPRh_,OG,0.249781543994,6.54427674544,0.654427674544,2.62,IfcWall,True,2.4978155517,True,,Wand-011,0.249781543994,6.54427674544,0.654427674544,,['EXISTING'],0.1,719869,
Wand,,,3tbsyACevB7AR0fbDGStSw,OG,0.10094186228,7.85847653218,0.785847651857,2.62,IfcWall,True,2.9994185272,True,,Wand-010,0.10094186228,3.72077653218,0.367097651856,,['EXISTING'],0.1,720837,
Wand,,,0SCQPQNTzBMew3Gdu$gOAw,OG,0.253219028799,6.65890169957,0.663433919957,2.62,IfcWall,True,2.54781553419,True,,Wand-010,0.253219028799,6.65890169957,0.663433919957,,['EXISTING'],0.1,722417,
Wand,,,33uFyPVYn8ueeiG9GC$hpf,OG,0.274338950024,7.16311772906,0.718768024268,2.62,IfcWall,True,2.72776439694,True,,Wand-007,0.274338950024,7.16311772906,0.718768024268,,['EXISTING'],0.1,722741,
Wand,,,1RV4qKcy10nQKwNg$SLQCa,OG,0.10094186228,7.85847653218,0.785847651857,2.62,IfcWall,True,2.9994185272,True,,Wand-010,0.10094186228,3.72077653218,0.367097651857,,['EXISTING'],0.1,723709,
Wand,,,1kBwPhfUD23RIrv7z7whTJ,OG,0.267782163492,7.01589225885,0.701589225885,2.62,IfcWall,True,2.67782147284,True,,Wand-011,0.267782163492,7.01589225885,0.701589225885,,['EXISTING'],0.1,724195,
Wand,,,0bSAYmsCr4ceY1Nwhc9Gl6,OG,0.271219003796,7.13050169957,0.710593919957,2.62,IfcWall,True,2.72781553419,True,,Wand-010,0.271219003796,7.13050169957,0.710593919957,,['EXISTING'],0.1,724519,
Wand,C30/37,XF3,0jcSgH8mjC_e0idORbbA8Y,R-023,3.10000029802,11.0,3.41,1.1,IfcWall,True,10.0,True,Stahlbeton,Wand-009,3.10000029802,11.0,3.41,SB2,['EXISTING'],0.31,724881,ÜK1
Wand,C30/37,XF3,0h0gBgeDHBMgBuvAvYa3Uv,OG,12.2538,19.795,6.1269,0.5,IfcWall,True,39.69,True,Stahlbeton,Wand-010,12.2538,19.795,6.1269,SB2,['EXISTING'],0.31,1390041,ÜK1
Wand,C30/37,XF3,1Po16Ao195rR_Ls27YZyQ4,OG,3.674,5.85,1.837,0.5,IfcWall,True,11.69,True,Stahlbeton,Wand-007,3.674,5.85,1.837,SB2,['EXISTING'],0.31,1390396,ÜK1
Wand,C30/37,XF3,0GEqiZUR1CPQrtL1XdLeAC,OG,3.674,5.85,1.837,0.5,IfcWall,True,11.69,True,Stahlbeton,Wand-009,3.674,5.85,1.837,SB2,['EXISTING'],0.31,1390985,ÜK1
Wand,C30/37,XF3,0InAwjSDH4q8w34NRIGvvY,OG,4.57689886748,7.3975,2.28845,0.5,IfcWall,True,14.845,True,Stahlbeton,Wand-008,4.57689886748,7.3975,2.28845,SB2,['EXISTING'],0.31,1391223,ÜK1
Wand,C30/37,XF3,2PikopU6nCaeAO954$hAuD,OG,4.57689886748,7.3975,2.28845,0.5,IfcWall,True,14.845,True,Stahlbeton,Wand-008,4.57689886748,7.3975,2.28845,SB2,['EXISTING'],0.31,1391461,ÜK1
