Area,Barrierefrei,Bauteiltyp,Betongüte,Brandwand,Depth,Expositionsklasse,Feuerwiderstandsklasse 4102-2,FinishCeilingHeight,FinishFloorHeight,FireRating,FloorCoveringThickness,GUID,Geschoss,GrossArea,GrossCeilingArea,GrossFloorArea,GrossFootprintArea,GrossHeight,GrossPerimeter,GrossSideArea,GrossVolume,GrossWallArea,HandicapAccessible,Height,IfcType,IsExternal,Length,LoadBearing,Material,Name,NetArea,NetCeilingArea,NetFloorArea,NetFootprintArea,NetHeight,NetPerimeter,NetSideArea,NetVolume,NetWallArea,Perimeter,Status,Volume,Width,id
2.4,,Fenster,,,,,F 60,,,F 60,,2paBspVGf0QBcsy9eQ9zO7,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-008,,,,,,,,,,6.4,['EXISTING'],,1.2,6752
,,Wand,C30/37,True,,XC3,F 60,,,F 60,,3sf1yXqNH21gOZeYxSPNP3,EG,,,,2.555,,,21.0,7.665,,,3.0,IfcWall,True,7.1825,True,Stahlbeton,Wand-004,,,,2.555,,,13.8,5.037,,,['EXISTING'],,0.365,7130
2.4,,Öffnung,,,0.365,,,,,,,04rO75$Oc38SlgtgjaS5Wu,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-008,,,,,,,,,,,,0.0935572,1.2,6963
2.4,,Öffnung,,,0.365,,,,,,,3p_eSg9WqKPx$ZDlVF0x6H,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-009,,,,,,,,,,,,0.0935572,1.2,7022
2.4,,Öffnung,,,0.365,,,,,,,13gcyru_RERLV4lpRHr_R3,,,,,,,,,,,,2.0,IfcOpeningElement,,,,,Fenster-010,,,,,,,,,,,,0.0935572,1.2,7081
2.4,,Fenster,,,,,F 60,,,F 60,,19zfzSYIz4AB$qvHLkh$2i,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-008,,,,,,,,,,6.4,['EXISTING'],,1.2,7188
2.4,,Fenster,,,,,F 60,,,F 60,,3HGiIZDRj9Fff5njeqPkss,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-009,,,,,,,,,,6.4,['EXISTING'],,1.2,7246
2.4,,Fenster,,,,,F 60,,,F 60,,0QpCYFfOf1lwMyljrKS$mT,EG,,,,,,,,,,,2.0,IfcWindow,True,,,Kunststoff,Fenster-010,,,,,,,,,,6.4,['EXISTING'],,1.2,7304
,,Raum,,,,,,2.7,0.1,,0.1,2Jzk1pq7zBMx8yZkEC_z6N,,,36.89,36.89,,,24.54,,99.603,66.258,,2.7,IfcSpace,,,,,R-007,,36.89,36.89,,,24.54,,99.603,48.7125,,,,,7416
,,Decke,C30/37,,,XC4,F 90,,,F 90,,0aAN1QYJ98JRDz0JlO6XE3,EG,113.853555794,,,,,,,11.3853555794,,,,IfcSlab,True,,True,Stahlbeton,RD-001,113.853555794,,,,,,,11.3853555794,,44.917582353,['EXISTING'],,0.1,7543
,,Wand,,False,,,F 30,,,F 30,,0RJx0iBnjAxuG7ZxklEhkm,EG,,,,0.594749894241,,,11.895,1.78425,,,3.0,IfcWall,True,3.965,True,Gipskarton,Wand-011,,,,0.594749894241,,,11.895,1.78425,,,['EXISTING'],,0.15,7893
,,Wand,,False,,,F 30,,,F 30,,1DP7qE6L1BT8XVOxH4jWZX,EG,,,,0.594387255065,,,11.8877470589,1.78316205884,,,3.0,IfcWall,True,3.96258235298,True,Gipskarton,Wand-012,,,,0.594387255065,,,11.8877470589,1.78316205884,,,['EXISTING'],,0.15,8227
,,Decke,,,,,,,,,,3zuDfoFjzF$xj0mzRo4ZYi,EG,11.8052942869,,,,,,,1.18052942869,,,,IfcSlab,False,,False,Fliesen,RD-008,11.7019979619,,,,,,,1.17019979619,,13.9026471434,['EXISTING'],,0.1,8329
,,Raum,,,,,,2.7,0.1,,0.1,2j6XmeLhb3iPiZWCud2scl,,,27.3919008825,27.3919008825,,,29.9927470589,,73.9581323827,62.4854170591,,2.7,IfcSpace,,,,,R-005,,27.3919008825,27.3919008825,,,29.9927470589,,73.9581323827,45.6854170591,,,,,8456
,,Decke,,,,,,,,,,1vsRF__B513Q23b6nQ88$7,EG,15.5899929014,,,,,,,1.55899929014,,,,IfcSlab,False,,False,Holz,RD-008,15.4511828205,,,,,,,1.54511828205,,15.7949355843,['EXISTING'],,0.1,8558
,,Decke,,,,,,,,,,1CWL52bi1DwQzT2ltBs8pR,EG,15.5947057131,,,,,,,1.55947057131,,,,IfcSlab,False,,False,Fliesen,RD-008,15.4582520381,,,,,,,1.54582520381,,15.7973528566,['EXISTING'],,0.1,8664
,,Raum,,,,,,2.7,0.1,,0.1,0OEGXQz4bBJwgHa8UPn2pF,,,11.8052942869,11.8052942869,,,13.9026471434,,31.8742945746,29.5685736437,,2.7,IfcSpace,,,,,R-001,,11.8052942869,11.8052942869,,,13.9026471434,,31.8742945746,22.3685736437,,,,,8767
,,Wand,C30/37,True,,XC3,F 60,,,F 60,,3$_YxCh7H3tBCFYGJah$yv,R-001,,,,2.8,,,21.0,8.4,,,3.0,IfcWall,True,7.0,True,Stahlbeton,Wand-008,,,,2.8,,,17.4423,6.97692,,,['EXISTING'],,0.4,9096
1.77885,,Öffnung,,,0.4,,,,,,,3uATvvOs0QYbOd81h3Yd6b,,,,,,,,,,,,2.01,IfcOpeningElement,,,,,Tür-002,,,,,,,,,,,,0.0781365,0.885,8988
1.77885,,Öffnung,,,0.4,,,,,,,2EiZXMOH6bL3ZQLJe5b_i$,,,,,,,,,,,,2.01,IfcOpeningElement,,,,,Tür-003,,,,,,,,,,,,0.0781365,0.885,9047
1.77885,False,Tür,,,,,T 60,,,T 60,,3goUrQ3nP0URTlV_hk08Nn,R-001,,,,,,,,,,False,2.01,IfcDoor,True,,,Holz,Tür-002,,,,,,,,,,5.79,['EXISTING'],,0.885,9339
,,Raum,,,,,,2.7,0.1,,0.1,1QbB5KOnr2Ae2PjYYUbUh8,,,15.5947057131,15.5947057131,,,15.7973528566,,42.1057054254,32.1264263563,,2.7,IfcSpace,,,,,R-002,,15.5947057131,15.5947057131,,,15.7973528566,,42.1057054254,22.5264263563,,,,,9442
1.77885,False,Tür,,,,,T 60,,,T 60,,0_PWdgL3L7tw9nWvihjL0G,R-001,,,,,,,,,,False,2.01,IfcDoor,True,,,Holz,Tür-003,,,,,,,,,,5.79,['EXISTING'],,0.885,9504
